Order ID,Stock ID,Action,Quantity,Price,Currency,Total Value,Timestamp,Status
60,EGLN.L,SELL,74,71.6300,EUR,5300.62,18/12/2025 10:00:14,Pending,FILLED
61,AAPL,SELL,3,269.2000,USD,807.60,18/12/2025 15:37:49,Pending,FILLED
62,TSLA,SELL,5,490.2100,USD,2451.05,18/12/2025 17:17:41,Pending,FILLED
63,ARM,SELL,9,113.7200,USD,1023.48,18/12/2025 18:14:14,Pending,FILLED
64,EGLN.L,BUY,72,71.7500,EUR,5166.00,19/12/2025 10:00:09,Pending,FILLED
65,TSLA,BUY,6,483.3950,USD,2900.37,19/12/2025 15:30:08,Pending,FILLED
66,ARM,BUY,9,114.3000,USD,1028.70,19/12/2025 15:30:38,Pending,FILLED
67,ORCL,SELL,5,192.2200,USD,961.10,19/12/2025 15:42:34,Pending,FILLED
68,MU,BUY,4,266.6650,USD,1066.66,19/12/2025 15:45:11,Pending,FILLED
69,EGLN.L,SELL,72,73.2000,EUR,5270.40,22/12/2025 17:12:58,Pending,FILLED
70,MU,SELL,4,275.2392,USD,1100.96,23/12/2025 16:38:48,Pending,FILLED
71,TSM,BUY,7,297.7100,USD,2083.97,24/12/2025 15:30:16,Pending,FILLED
72,MU,BUY,3,286.1073,USD,858.32,26/12/2025 16:46:49,Pending,FILLED
73,EGLN.L,BUY,55,73.4400,EUR,4039.20,29/12/2025 10:06:22,Pending,FILLED
74,TSLA,SELL,6,463.6200,USD,2781.72,29/12/2025 15:35:50,Pending,FILLED
75,TSM,SELL,7,306.5250,USD,2145.67,31/12/2025 16:04:25,Pending,FILLED
76,TSM,BUY,7,303.8650,USD,2127.05,02/01/2026 15:30:10,Pending,FILLED
77,MU,SELL,3,302.7100,USD,908.13,02/01/2026 15:33:23,Pending,FILLED
78,ESE.PA,SELL,183,29.7673,EUR,5447.42,05/01/2026 17:23:03,Pending,FILLED
79,TSM,SELL,7,327.5100,USD,2292.57,05/01/2026 17:23:33,Pending,FILLED
80,ARM,SELL,9,119.8600,USD,1078.74,05/01/2026 17:24:03,Pending,FILLED
81,MU,BUY,3,311.2850,USD,933.86,05/01/2026 18:32:57,Pending,FILLED
82,AAPL,BUY,4,262.7700,USD,1051.08,06/01/2026 19:40:14,Pending,FILLED
83,QCOM,SELL,6,182.5601,USD,1095.36,06/01/2026 19:40:44,Pending,FILLED
84,MU,SELL,3,335.7150,USD,1007.14,06/01/2026 19:41:14,Pending,FILLED
85,MRNA,BUY,31,35.2050,USD,1091.36,06/01/2026 19:41:44,Pending,FILLED
86,TSM,BUY,6,322.8650,USD,1937.19,07/01/2026 15:48:09,Pending,FILLED
87,QCOM,BUY,6,178.7900,USD,1072.74,07/01/2026 16:01:52,Pending,FILLED
88,ESE.PA,BUY,237,29.9812,EUR,7105.54,07/01/2026 16:38:06,Pending,FILLED
89,GOOG,BUY,4,322.4500,USD,1289.80,08/01/2026 15:30:18,Pending,FILLED
90,GOOG,BUY,3,326.6425,USD,979.93,08/01/2026 15:35:21,Pending,FILLED
91,GOOG,BUY,3,325.2400,USD,975.72,08/01/2026 15:40:25,Pending,FILLED
92,GOOG,BUY,4,323.7137,USD,1294.85,08/01/2026 15:45:46,Pending,FILLED
93,GOOG,BUY,4,322.8900,USD,1291.56,08/01/2026 15:51:07,Pending,FILLED
94,GOOG,BUY,4,323.8400,USD,1295.36,08/01/2026 15:56:10,Pending,FILLED
95,MU,BUY,3,330.6019,USD,991.81,08/01/2026 15:56:58,Pending,FILLED
96,MU,BUY,3,328.4215,USD,985.26,08/01/2026 16:02:01,Pending,FILLED
97,GOOG,BUY,4,324.0500,USD,1296.20,08/01/2026 16:06:30,Pending,FILLED
98,MU,BUY,3,329.9400,USD,989.82,08/01/2026 16:07:36,Pending,FILLED
99,GOOG,BUY,3,325.5800,USD,976.74,08/01/2026 16:11:45,Pending,FILLED
100,MU,BUY,3,330.0800,USD,990.24,08/01/2026 16:12:51,Pending,FILLED
101,GOOG,BUY,3,325.4850,USD,976.45,08/01/2026 16:16:59,Pending,FILLED
102,MU,BUY,3,329.4750,USD,988.43,08/01/2026 16:18:05,Pending,FILLED
103,GOOG,BUY,3,325.7100,USD,977.13,08/01/2026 16:22:11,Pending,FILLED
104,MU,BUY,3,328.6401,USD,985.92,08/01/2026 16:23:17,Pending,FILLED
105,GOOG,BUY,3,326.5200,USD,979.56,08/01/2026 16:27:26,Pending,FILLED
106,MU,BUY,3,327.0000,USD,981.00,08/01/2026 16:28:32,Pending,FILLED
107,GOOG,BUY,3,326.4900,USD,979.47,08/01/2026 16:32:41,Pending,FILLED
108,MU,BUY,3,325.9600,USD,977.88,08/01/2026 16:34:06,Pending,CANCELLED
109,GOOG,BUY,4,324.5899,USD,1298.36,08/01/2026 16:37:55,Pending,CANCELLED
110,MU,BUY,3,324.8100,USD,974.43,08/01/2026 16:39:38,Pending,CANCELLED
111,GOOG,BUY,3,325.7500,USD,977.25,08/01/2026 16:43:08,Pending,FILLED
112,MU,BUY,3,324.7100,USD,974.13,08/01/2026 16:45:10,Pending,REJECTED
113,GOOG,BUY,3,326.6350,USD,979.91,08/01/2026 16:48:22,Pending,CANCELLED
114,MU,BUY,3,323.8700,USD,971.61,08/01/2026 16:50:23,Pending,REJECTED
115,GOOG,BUY,3,327.0675,USD,981.20,08/01/2026 16:53:35,Pending,REJECTED
116,MU,BUY,3,322.1500,USD,966.45,08/01/2026 16:55:35,Pending,REJECTED
117,GOOG,BUY,3,327.8600,USD,983.58,08/01/2026 16:58:47,Pending,REJECTED
118,MU,BUY,3,324.8100,USD,974.43,08/01/2026 17:00:47,Pending,REJECTED
119,GOOG,BUY,3,328.2800,USD,984.84,08/01/2026 17:04:18,Pending,REJECTED
120,MU,BUY,3,323.2079,USD,969.62,08/01/2026 17:06:23,Pending,REJECTED
121,GOOG,BUY,3,327.9600,USD,983.88,08/01/2026 17:09:35,Pending,REJECTED
122,GOOG,BUY,3,327.5200,USD,982.56,08/01/2026 18:59:47,Pending,REJECTED
123,MU,BUY,3,327.9300,USD,983.79,08/01/2026 19:00:17,Pending,REJECTED
124,GOOG,BUY,3,327.1600,USD,981.48,08/01/2026 19:05:02,Pending,REJECTED
125,MU,BUY,3,326.6499,USD,979.95,08/01/2026 19:05:32,Pending,REJECTED
126,GOOG,BUY,3,326.2835,USD,978.85,08/01/2026 19:10:03,Pending,REJECTED
127,MU,BUY,3,327.4195,USD,982.26,08/01/2026 19:10:34,Pending,REJECTED
128,GOOG,BUY,3,326.4700,USD,979.41,08/01/2026 19:15:18,Pending,REJECTED
129,MU,BUY,3,327.6300,USD,982.89,08/01/2026 19:16:06,Pending,REJECTED
130,GOOG,BUY,3,327.0900,USD,981.27,08/01/2026 19:20:30,Pending,REJECTED
131,MU,BUY,3,327.8200,USD,983.46,08/01/2026 19:21:19,Pending,REJECTED
132,GOOG,BUY,3,327.0300,USD,981.09,08/01/2026 19:25:43,Pending,REJECTED
133,MU,BUY,3,327.6499,USD,982.95,08/01/2026 19:26:31,Pending,CANCELLED
134,GOOG,BUY,3,326.6600,USD,979.98,08/01/2026 19:30:59,Pending,Score:10 | Drop:1.2% | RSI:67 | Vol:13.4M | [MOMENTUM] Score:10 RSI:67 (Breakout Volume/MACD)
135,MU,BUY,3,327.6900,USD,983.07,08/01/2026 19:31:48,Pending,Score:10 | Drop:5.4% | RSI:68 | Vol:23.5M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
136,GOOG,BUY,3,326.8400,USD,980.52,08/01/2026 19:36:13,Pending,Score:10 | Drop:1.1% | RSI:67 | Vol:13.5M | [MOMENTUM] Score:10 RSI:67 (Breakout Volume/MACD)
137,MU,BUY,3,327.7600,USD,983.28,08/01/2026 19:37:01,Pending,REJECTED
138,GOOG,BUY,3,326.4903,USD,979.47,08/01/2026 19:41:47,Pending,CANCELLED
139,MU,BUY,3,327.7500,USD,983.25,08/01/2026 19:42:17,Pending,CANCELLED
140,GOOG,BUY,3,326.6700,USD,980.01,08/01/2026 19:47:00,Pending,CANCELLED
141,MU,BUY,3,327.7877,USD,983.36,08/01/2026 19:47:30,Pending,CANCELLED
142,GOOG,BUY,3,326.3500,USD,979.05,08/01/2026 19:52:15,Pending,CANCELLED
143,MU,BUY,3,327.1800,USD,981.54,08/01/2026 19:53:03,Pending,CANCELLED
144,GOOG,BUY,3,326.1300,USD,978.39,08/01/2026 19:57:28,Pending,CANCELLED
145,MU,BUY,3,326.9100,USD,980.73,08/01/2026 19:58:16,Pending,CANCELLED
146,GOOG,BUY,3,326.3500,USD,979.05,08/01/2026 20:02:46,Pending,CANCELLED
147,MU,BUY,3,327.6550,USD,982.96,08/01/2026 20:03:16,Pending,CANCELLED
148,GOOG,BUY,3,326.2700,USD,978.81,08/01/2026 20:08:04,Pending,CANCELLED
149,MU,BUY,3,326.6950,USD,980.09,08/01/2026 20:08:52,Pending,CANCELLED
150,GOOG,BUY,3,326.1200,USD,978.36,08/01/2026 20:13:17,Pending,CANCELLED
151,MU,BUY,3,324.9050,USD,974.71,08/01/2026 20:14:23,Pending,CANCELLED
152,GOOG,BUY,3,326.0750,USD,978.23,08/01/2026 20:18:17,Pending,CANCELLED
153,MU,BUY,3,324.3900,USD,973.17,08/01/2026 20:19:41,Pending,CANCELLED
154,GOOG,BUY,3,326.1750,USD,978.52,08/01/2026 20:23:32,Pending,CANCELLED
155,MU,BUY,3,324.7400,USD,974.22,08/01/2026 20:25:14,Pending,CANCELLED
156,GOOG,BUY,3,326.1450,USD,978.43,08/01/2026 20:28:46,Pending,CANCELLED
157,MU,BUY,3,326.3040,USD,978.91,08/01/2026 20:30:50,Pending,CANCELLED
158,GOOG,BUY,3,326.0000,USD,978.00,08/01/2026 20:34:02,Pending,CANCELLED
159,MU,BUY,3,326.2350,USD,978.70,08/01/2026 20:36:02,Pending,CANCELLED
160,GOOG,BUY,3,325.3600,USD,976.08,08/01/2026 20:39:33,Pending,CANCELLED
161,MU,BUY,3,326.4350,USD,979.30,08/01/2026 20:41:33,Pending,CANCELLED
162,GOOG,BUY,3,325.3800,USD,976.14,08/01/2026 20:44:45,Pending,Score:10 | Drop:1.6% | RSI:66 | Vol:15.1M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
163,MU,BUY,3,326.5300,USD,979.59,08/01/2026 20:46:49,Pending,Score:10 | Drop:5.7% | RSI:68 | Vol:26.5M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
164,GOOG,BUY,3,325.1850,USD,975.55,08/01/2026 20:50:01,Pending,Score:10 | Drop:1.6% | RSI:66 | Vol:15.2M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
165,MU,BUY,3,327.5250,USD,982.57,08/01/2026 20:52:23,Pending,Score:10 | Drop:5.4% | RSI:68 | Vol:26.7M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
166,GOOG,BUY,3,324.9800,USD,974.94,08/01/2026 20:55:17,Pending,Score:10 | Drop:1.7% | RSI:66 | Vol:15.3M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
167,MU,BUY,3,326.6700,USD,980.01,08/01/2026 20:57:35,Pending,Score:10 | Drop:5.7% | RSI:68 | Vol:26.8M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
168,GOOG,BUY,3,325.2600,USD,975.78,08/01/2026 21:00:52,Pending,Score:10 | Drop:1.6% | RSI:66 | Vol:15.5M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
169,MU,BUY,3,326.4900,USD,979.47,08/01/2026 21:02:56,Pending,Score:10 | Drop:5.7% | RSI:68 | Vol:27.0M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
170,GOOG,BUY,3,324.9480,USD,974.84,08/01/2026 21:06:26,Pending,Score:10 | Drop:1.7% | RSI:66 | Vol:15.5M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
171,MU,BUY,3,326.1000,USD,978.30,08/01/2026 21:08:27,Pending,Score:10 | Drop:5.8% | RSI:68 | Vol:27.2M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
172,GOOG,BUY,3,325.3950,USD,976.18,08/01/2026 21:11:40,Pending,Score:10 | Drop:1.6% | RSI:66 | Vol:15.7M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
173,MU,BUY,3,326.1100,USD,978.33,08/01/2026 21:13:58,Pending,Score:10 | Drop:5.8% | RSI:68 | Vol:27.4M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
174,GOOG,BUY,3,325.5600,USD,976.68,08/01/2026 21:16:52,Pending,Score:10 | Drop:1.5% | RSI:66 | Vol:15.9M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
175,MU,BUY,3,325.8600,USD,977.58,08/01/2026 21:19:13,Pending,Score:10 | Drop:5.9% | RSI:68 | Vol:27.5M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
176,GOOG,BUY,3,325.5699,USD,976.71,08/01/2026 21:22:08,Pending,Score:10 | Drop:1.5% | RSI:66 | Vol:16.0M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
177,MU,BUY,3,325.6900,USD,977.07,08/01/2026 21:24:26,Pending,Score:10 | Drop:6.0% | RSI:67 | Vol:27.7M | [MOMENTUM] Score:10 RSI:67 (Breakout Volume/MACD)
178,GOOG,BUY,3,325.9350,USD,977.80,08/01/2026 21:27:20,Pending,Score:10 | Drop:1.4% | RSI:66 | Vol:16.2M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
179,MU,BUY,3,326.0150,USD,978.05,08/01/2026 21:29:40,Pending,Score:10 | Drop:5.9% | RSI:67 | Vol:27.9M | [MOMENTUM] Score:10 RSI:67 (Breakout Volume/MACD)
180,GOOG,BUY,3,325.5950,USD,976.79,08/01/2026 21:32:34,Pending,Score:10 | Drop:1.5% | RSI:66 | Vol:16.3M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
181,MU,BUY,3,326.6200,USD,979.86,08/01/2026 21:34:54,Pending,Score:10 | Drop:5.7% | RSI:68 | Vol:28.2M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
182,GOOG,BUY,3,325.6950,USD,977.09,08/01/2026 21:37:48,Pending,Score:10 | Drop:1.5% | RSI:66 | Vol:16.5M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
183,MU,BUY,3,327.2150,USD,981.64,08/01/2026 21:40:06,Pending,Score:10 | Drop:5.5% | RSI:68 | Vol:28.4M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
184,GOOG,BUY,3,325.7300,USD,977.19,08/01/2026 21:43:00,Pending,Score:10 | Drop:1.5% | RSI:66 | Vol:16.6M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
185,MU,BUY,3,326.8800,USD,980.64,08/01/2026 21:45:18,Pending,Score:10 | Drop:5.6% | RSI:68 | Vol:28.6M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
186,GOOG,BUY,3,326.0800,USD,978.24,08/01/2026 21:48:13,Pending,Score:10 | Drop:1.3% | RSI:66 | Vol:16.9M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
187,MU,BUY,3,326.9750,USD,980.93,08/01/2026 21:50:33,Pending,Score:10 | Drop:5.6% | RSI:68 | Vol:28.9M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
188,GOOG,BUY,3,325.9470,USD,977.84,08/01/2026 21:53:27,Pending,Score:10 | Drop:1.4% | RSI:66 | Vol:17.1M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
189,MU,BUY,3,326.2800,USD,978.84,08/01/2026 21:55:47,Pending,Score:10 | Drop:5.8% | RSI:68 | Vol:29.2M | [MOMENTUM] Score:10 RSI:68 (Breakout Volume/MACD)
190,GOOG,BUY,3,325.9500,USD,977.85,08/01/2026 21:58:41,Pending,Score:10 | Drop:1.4% | RSI:66 | Vol:17.6M | [MOMENTUM] Score:10 RSI:66 (Breakout Volume/MACD)
89,GOOG,BUY,3,329.9700,USD,989.91,09/01/2026 18:44:53,Pending,FILLED
90,EGLN.L,SELL,55,76.3200,EUR,4197.60,12/01/2026 10:28:01,Pending,FILLED
91,ORCL,BUY,5,204.7050,USD,1023.53,13/01/2026 15:30:19,Pending,FILLED
92,MU,BUY,3,348.1900,USD,1044.57,13/01/2026 15:30:49,Pending,FILLED
93,TSM,SELL,6,332.7400,USD,1996.44,13/01/2026 15:31:37,Pending,FILLED
94,ARM,BUY,10,109.0601,USD,1090.60,13/01/2026 15:32:07,Pending,FILLED
95,GOOG,SELL,3,341.0750,USD,1023.23,13/01/2026 15:42:50,Pending,FILLED
96,NVDA,BUY,6,184.3500,USD,1106.10,13/01/2026 15:50:14,Pending,FILLED
97,AMD,BUY,5,219.8054,USD,1099.03,13/01/2026 18:58:21,Pending,FILLED
98,MRNA,SELL,31,38.5550,USD,1195.21,13/01/2026 18:58:51,Pending,FILLED
99,TSLA,BUY,7,446.7400,USD,3127.18,13/01/2026 18:59:39,Pending,FILLED
91,AMZN,BUY,3,239.6100,USD,718.83,14/01/2026 15:33:09,Pending,FILLED
92,ARM,SELL,10,103.0300,USD,1030.30,14/01/2026 15:44:13,Pending,FILLED
93,AMD,SELL,5,229.0700,USD,1145.35,15/01/2026 15:31:03,Pending,FILLED
94,GOOG,BUY,6,333.8420,USD,2003.05,15/01/2026 15:35:30,Pending,FILLED
93,AAPL,SELL,4,252.5700,USD,1010.28,20/01/2026 15:30:55,Pending,FILLED
94,TSM,BUY,4,341.1600,USD,1364.64,20/01/2026 15:31:25,Pending,FILLED
95,MU,SELL,3,368.2100,USD,1104.63,20/01/2026 15:31:55,Pending,FILLED
96,MRNA,BUY,26,41.5700,USD,1080.82,20/01/2026 15:32:25,Pending,FILLED
97,TSLA,SELL,7,425.7700,USD,2980.39,20/01/2026 15:33:13,Pending,FILLED
98,ARM,BUY,10,106.8000,USD,1068.00,20/01/2026 15:33:43,Pending,FILLED
99,GOOG,SELL,6,322.1600,USD,1932.96,20/01/2026 15:39:40,Pending,FILLED
100,AAPL,BUY,4,246.9000,USD,987.60,21/01/2026 15:34:20,Pending,FILLED
101,ARM,SELL,10,114.7500,USD,1147.50,21/01/2026 15:34:50,Pending,FILLED
102,AMZN,SELL,3,229.5800,USD,688.74,21/01/2026 15:35:39,Pending,FILLED
103,MRNA,SELL,26,44.2650,USD,1150.89,21/01/2026 15:36:09,Pending,FILLED
104,TSM,SELL,4,328.5600,USD,1314.24,21/01/2026 15:38:31,Pending,FILLED
105,MSFT,BUY,4,450.2900,USD,1801.16,21/01/2026 16:32:21,Pending,FILLED
106,EGLN.L,BUY,27,81.3700,EUR,2196.99,23/01/2026 12:42:55,Pending,FILLED
107,MSFT,SELL,4,461.3391,USD,1845.36,23/01/2026 16:09:26,Pending,FILLED
108,ARM,BUY,9,116.6399,USD,1049.76,23/01/2026 16:09:56,Pending,CANCELLED
109,INTC,BUY,20,45.6842,USD,913.68,23/01/2026 16:10:26,Pending,CANCELLED
110,ASML,SELL,2,1382.8199,USD,2765.64,23/01/2026 16:20:33,Pending,CANCELLED
106,AAPL,SELL,4,253.2500,USD,1013.00,26/01/2026 16:03:32,Pending,FILLED
106,AMD,BUY,9,251.3200,USD,2261.88,27/01/2026 15:30:11,Pending,FILLED
107,TSM,BUY,4,340.5500,USD,1362.20,27/01/2026 17:17:59,Pending,FILLED
108,NVDA,BUY,5,215.2500,USD,1076.25,25/05/2026 17:23:42,Pending,CANCELLED
109,AMZN,BUY,8,266.3000,USD,2130.40,25/05/2026 17:24:12,Pending,CANCELLED
110,ABT,BUY,12,87.4100,USD,1048.92,25/05/2026 17:24:42,Pending,CANCELLED
111,HO.PA,BUY,4,232.4000,EUR,929.60,25/05/2026 17:25:12,Pending,FILLED
112,ASML,BUY,2,1632.2500,USD,3264.50,25/05/2026 17:26:00,Pending,REJECTED
113,NVDA,BUY,5,215.2500,USD,1076.25,25/05/2026 17:28:54,Pending,CANCELLED
114,AMZN,BUY,8,266.3000,USD,2130.40,25/05/2026 17:29:24,Pending,REJECTED
115,ABT,BUY,12,87.4100,USD,1048.92,25/05/2026 17:29:54,Pending,REJECTED
116,TSM,BUY,5,404.3400,USD,2021.70,25/05/2026 17:30:42,Pending,REJECTED
117,MSFT,BUY,5,418.5800,USD,2092.90,25/05/2026 17:31:12,Pending,REJECTED
118,ASML,BUY,2,1632.2500,USD,3264.50,25/05/2026 17:31:42,Pending,REJECTED
119,NVDA,BUY,5,215.2500,USD,1076.25,25/05/2026 17:34:01,Pending,REJECTED
120,AMZN,BUY,8,266.3000,USD,2130.40,25/05/2026 17:34:31,Pending,REJECTED
121,ABT,BUY,12,87.4100,USD,1048.92,25/05/2026 17:35:01,Pending,REJECTED
122,TSM,BUY,5,404.3400,USD,2021.70,25/05/2026 17:35:49,Pending,REJECTED
123,ASML,BUY,2,1632.2500,USD,3264.50,25/05/2026 17:36:55,Pending,REJECTED
124,NVDA,BUY,5,215.2500,USD,1076.25,25/05/2026 17:39:13,Pending,REJECTED
125,AMZN,BUY,8,266.3000,USD,2130.40,25/05/2026 17:39:43,Pending,REJECTED
126,ABT,BUY,12,87.4100,USD,1048.92,25/05/2026 17:40:13,Pending,REJECTED
127,ASML,BUY,2,1632.2500,USD,3264.50,25/05/2026 17:41:55,Pending,REJECTED
128,NVDA,BUY,5,215.2500,USD,1076.25,25/05/2026 17:44:13,Pending,REJECTED
129,AMZN,BUY,8,266.3000,USD,2130.40,25/05/2026 17:44:43,Pending,REJECTED
130,ABT,BUY,12,87.4100,USD,1048.92,25/05/2026 17:45:13,Pending,REJECTED
131,ASML,BUY,2,1632.2500,USD,3264.50,25/05/2026 17:46:55,Pending,REJECTED
132,NVDA,BUY,5,215.2500,USD,1076.25,25/05/2026 17:49:13,Pending,REJECTED
133,AMZN,BUY,8,266.3000,USD,2130.40,25/05/2026 17:49:43,Pending,CANCELLED
134,NVDA,BUY,5,215.2500,USD,1076.25,25/05/2026 17:52:33,Pending,Score:9 | Drop:13.2% | RSI:72 | Vol:30.3M | [MOMENTUM] Base:3 Strong-Upside [Bank Target: +3 (20%+ Upside vs 280.0)] (Momentum Entry)
135,AMZN,BUY,8,266.3000,USD,2130.40,25/05/2026 17:53:03,Pending,Score:9 | Drop:34.2% | RSI:57 | Vol:13.3M | [MOMENTUM] Base:3 Strong-Upside [Bank Target: +3 (20%+ Upside vs 333.0)] (Momentum Entry)
136,ABT,BUY,12,87.4100,USD,1048.92,25/05/2026 17:53:33,Pending,Score:8 | Drop:2.2% | RSI:42 | Vol:9.5M | [MOMENTUM] Base:3 Strong-Upside [Bank Target: +3 (20%+ Upside vs 137.0)] (Momentum Entry)
